category,subcategory,item_category,name,price,market,image_url,calories,protein,carbs,fat
Gıda,"Konserve, Sos, HazırYemek",Konserve,Dardanel 3x75 gr Tonla Ayçiçek Yağlı Ton Balığı,"79,00 TL",Carrefour,https://cdn.cimri.io/market/88x88/dardanel-3x75-gr-tonla-aycicek-yagli-ton-baligi-_2032191.jpg,193,24,0,11
Gıda,"Konserve, Sos, HazırYemek",Konserve,Dardanel 230 gr Midye Dolma,"149,00 TL",a101,https://cdn.cimri.io/market/88x88/dardanel-230-gr-midye-dolma-_415496.jpg,30,2,3,1
Gıda,"Konserve, Sos, HazırYemek",Konserve,Dardanel 2x140 gr Ayçiçek Yağlı Ton Balığı,"182,50 TL",Getir Büyük,https://cdn.cimri.io/market/88x88/dardanel-2x140-gr-aycicek-yagli-ton-baligi-_1231677.jpg,193,24,0,11
Gıda,"Konserve, Sos, HazırYemek",Konserve,Burcu 310 gr Kapari,"105,00 TL",Amazon,https://cdn.cimri.io/market/88x88/burcu-310-gr-kapari-_269310.jpg,,,,
Gıda,"Konserve, Sos, HazırYemek",Konserve,Dardanel 2x140 gr Zeytinyağlı Ton Balığı,"197,50 TL",Getir Büyük,https://cdn.cimri.io/market/88x88/dardanel-2x140-gr-zeytinyagli-ton-baligi-_1250757.jpg,193,24,0,11
Gıda,"Konserve, Sos, HazırYemek",Konserve,Trofco 2x425 gr Mango Konservesi,"237,85 TL",PttAVM,https://cdn.cimri.io/market/88x88/trofco-2x425-gr-mango-konservesi-_1119003.jpg,60,0.8,15.0,0.4
Gıda,"Konserve, Sos, HazırYemek",Konserve,Dardanel 3x75 gr Zeytinyağlı Ton Balığı,"155,00 TL",Tarım Kredi Kooperatifi,https://cdn.cimri.io/market/88x88/dardanel-3x75-gr-zeytinyagli-ton-baligi-_1423021.jpg,193,24,0,11
Gıda,"Konserve, Sos, HazırYemek",Konserve,Olca 1550 gr Tatlı Biber Salçası,"327,83 TL",PttAVM,https://cdn.cimri.io/market/88x88/olca-1550-gr-tatli-biber-salcasi-_413541.jpg,31,1.0,6.0,0.3
Gıda,"Konserve, Sos, HazırYemek",Konserve,Dardanel 3x140 gr Ayçiçek Yağlı Ton Balığı,"260,00 TL",Amazon,https://cdn.cimri.io/market/88x88/dardanel-3x140-gr-aycicek-yagli-ton-baligi-_1252500.jpg,193,24,0,11
Gıda,"Konserve, Sos, HazırYemek",Konserve,"Olca 3,2 kg Domates Salçası","354,38 TL",PttAVM,https://cdn.cimri.io/market/88x88/olca-32-kg-domates-salcasi-_1112982.jpg,18,0.9,3.9,0.2
Gıda,"Konserve, Sos, HazırYemek",Konserve,Tat 12x830 gr Domates Salçası,"710,10 TL",PttAVM,https://cdn.cimri.io/market/88x88/tat-12x830-gr-domates-salcasi-_1081195.jpg,18,0.9,3.9,0.2
Gıda,"Konserve, Sos, HazırYemek",Konserve,Baktat 180 gr Kapari,"86,48 TL",PttAVM,https://cdn.cimri.io/market/88x88/baktat-180-gr-kapari-_1425310.jpg,,,,
Gıda,"Konserve, Sos, HazırYemek",Konserve,Silifke Sepeti 5 kg  Ev Yapımı Kaya Koruğu  Turşusu,"749,90 TL",Amazon,https://cdn.cimri.io/market/88x88/silifke-sepeti-5-kg-ev-yapimi-kaya-korugu-tursusu-_1423178.jpg,,,,
Gıda,"Konserve, Sos, HazırYemek",Konserve,Tat 1700 gr Köy Domates Salçası,"155,90 TL",Carrefoursa,https://cdn.cimri.io/market/88x88/tat-1700-gr-koy-domates-salcasi-_268494.jpg,18,0.9,3.9,0.2
